
0it [00:00, ?it/s]
1174768it [01:09, 16727.49it/s]
1176445it [01:09, 16408.32it/s]
1178129it [01:09, 16525.41it/s]
1179975it [01:09, 17049.47it/s]
1181933it [01:10, 17727.71it/s]
1183718it [01:10, 17751.45it/s]
1185502it [01:10, 17333.01it/s]
1187244it [01:10, 16168.42it/s]
1188883it [01:10, 15734.44it/s]
1190559it [01:10, 16027.37it/s]
1192273it [01:10, 16342.72it/s]
1193919it [01:10, 16374.26it/s]
1195815it [01:10, 17067.11it/s]
1197535it [01:11, 16281.65it/s]
1199180it [01:11, 13446.37it/s]
1200789it [01:11, 14135.73it/s]
1202307it [01:11, 14432.83it/s]
1203805it [01:11, 14095.20it/s]
1205549it [01:11, 14954.56it/s]
1207331it [01:11, 15710.79it/s]
1209041it [01:11, 16103.12it/s]
1210883it [01:11, 16728.96it/s]
1212584it [01:12, 15219.08it/s]
1214381it [01:12, 15950.16it/s]
1216017it [01:12, 15845.14it/s]
1217631it [01:12, 15530.47it/s]
1219206it [01:12, 15445.33it/s]
1220965it [01:12, 16028.45it/s]
1222689it [01:12, 16362.95it/s]
1224475it [01:12, 16775.38it/s]
1226165it [01:12, 16071.44it/s]
1227871it [01:13, 16349.44it/s]
1229518it [01:13, 16065.63it/s]
1231493it [01:13, 17009.43it/s]
1233216it [01:13, 16246.07it/s]
1234869it [01:13, 16319.48it/s]
1236751it [01:13, 16988.44it/s]
1238468it [01:13, 16962.09it/s]
1240185it [01:13, 17013.39it/s]
1242081it [01:13, 17546.53it/s]
1243905it [01:13, 17735.10it/s]
1245701it [01:14, 17800.99it/s]
1247487it [01:14, 17646.23it/s]
1249256it [01:14, 16895.73it/s]
1250956it [01:14, 16228.04it/s]
1252592it [01:14, 15691.34it/s]
1254379it [01:14, 16269.83it/s]
1256167it [01:14, 16716.86it/s]
1257989it [01:14, 17131.04it/s]
1259797it [01:14, 17396.51it/s]
1261546it [01:14, 16893.79it/s]
1263273it [01:15, 17003.53it/s]
1265015it [01:15, 17119.28it/s]
1266743it [01:15, 17154.85it/s]
1268463it [01:15, 16868.23it/s]
1270154it [01:15, 16676.33it/s]
1271825it [01:15, 16419.40it/s]
1273493it [01:15, 16491.02it/s]
1275145it [01:15, 16198.40it/s]
1276793it [01:15, 16278.05it/s]
1278613it [01:16, 16803.82it/s]
1280373it [01:16, 17030.35it/s]
1282361it [01:16, 17781.01it/s]
1284151it [01:16, 17116.31it/s]
1285927it [01:16, 17303.08it/s]
1287761it [01:16, 17582.88it/s]
1289689it [01:16, 18051.12it/s]
1291503it [01:16, 18049.97it/s]
1293315it [01:16, 17572.32it/s]
1295080it [01:16, 16960.52it/s]
1296807it [01:17, 17050.27it/s]
1298557it [01:17, 17179.45it/s]
1300337it [01:17, 17347.48it/s]
1302076it [01:17, 17297.65it/s]
1303815it [01:17, 17323.33it/s]
1305550it [01:17, 17208.83it/s]
1307273it [01:17, 16929.47it/s]
1308969it [01:17, 16650.43it/s]
1310811it [01:17, 17135.43it/s]
1312633it [01:17, 17442.38it/s]
1314525it [01:18, 17848.57it/s]
1316707it [01:18, 18874.26it/s]
1318615it [01:18, 18014.46it/s]
1320439it [01:18, 18001.39it/s]
1322255it [01:18, 17604.72it/s]
1324099it [01:18, 17837.16it/s]
1325893it [01:18, 16674.30it/s]
1327589it [01:18, 16751.71it/s]
1329280it [01:18, 16536.54it/s]
1331029it [01:19, 16796.35it/s]
1332718it [01:19, 16144.51it/s]
1334345it [01:19, 15927.53it/s]
1335963it [01:19, 15991.78it/s]
1337569it [01:19, 15839.90it/s]
1339403it [01:19, 16513.39it/s]
1341081it [01:19, 16582.56it/s]
1342747it [01:19, 16356.46it/s]
1344477it [01:19, 16623.16it/s]
1346145it [01:19, 16066.76it/s]
1347760it [01:20, 15180.35it/s]
1349425it [01:20, 15591.49it/s]
